MODEL,DATA_TYP,MODEL_INDEX,TEST_SPLIT,LAYERS,UNITS,RETURN_SEQUENCE,FORECAST_HORIZON,BATCH_SIZE,EPOCHS,STEPS,OPTIMIZER,LEARNING_RATE,NORMALIZATION,TRAINING_TIME,TEST_TIME,MAE,MSE,RMSE
rnn,Wind,1,0.3,1,32, False,25,64,5,1657,Adam,0.001,minmax,46.47959423,1.76328516,33.53117862,2300.252205,47.96094458
rnn,Wind,2,0.3,1,64, True,25,64,5,1657,Adam,0.001,minmax,44.56767154,1.874281406,32.77822392,2146.897116,46.33462114
rnn,Wind,3,0.3,1,64, False,25,64,5,1657,Adam,0.001,minmax,45.00532031,1.795956612,33.6789869,2299.999585,47.95831091
rnn,Wind,4,0.3,1,128, True,25,64,5,1657,Adam,0.001,minmax,45.11334038,1.919601917,32.39825868,2076.718915,45.57103154
rnn,Wind,5,0.3,1,128, False,25,64,5,1657,Adam,0.001,minmax,44.65559411,1.735123158,40.29274608,3089.186975,55.58045497
rnn,Wind,6,0.3,2,32, True,25,64,5,1657,Adam,0.001,minmax,77.43076158,2.693622828,30.43704547,1914.792564,43.75834279
rnn,Wind,7,0.3,2,32, False,25,64,5,1657,Adam,0.001,minmax,72.48154879,2.628565311,33.92088413,2345.598846,48.43138286
rnn,Wind,8,0.3,2,64, True,25,64,5,1657,Adam,0.001,minmax,69.53224516,2.574384212,67.3573065,7892.570077,88.84013776
rnn,Wind,9,0.3,2,64, False,25,64,5,1657,Adam,0.001,minmax,70.67075109,2.531778574,41.86521876,3104.436138,55.71746708
rnn,Wind,10,0.3,2,128, True,25,64,5,1657,Adam,0.001,minmax,68.48735547,2.58606267,32.60427945,2085.727215,45.66976259
rnn,Wind,11,0.3,2,128, False,25,64,5,1657,Adam,0.001,minmax,74.00158405,2.541891575,30.814327,1896.132156,43.54459962
rnn,Wind,12,0.3,4,32, True,25,64,5,1657,Adam,0.001,minmax,132.2118292,4.005974293,30.34246147,1919.332172,43.81018343
rnn,Wind,13,0.3,4,32, False,25,64,5,1657,Adam,0.001,minmax,132.4508932,4.175546646,35.24382984,2548.97672,50.4873917
rnn,Wind,14,0.3,4,64, True,25,64,5,1657,Adam,0.001,minmax,123.4530177,4.085025311,40.67494165,3508.564309,59.23313523
rnn,Wind,15,0.3,4,64, False,25,64,5,1657,Adam,0.001,minmax,130.3824952,4.178967237,33.5135611,2281.051319,47.76035301
rnn,Wind,16,0.3,4,128, True,25,64,5,1657,Adam,0.001,minmax,139.7127287,4.03689599,32.37922932,2100.635816,45.83269374
rnn,Wind,17,0.3,4,128, False,25,64,5,1657,Adam,0.001,minmax,130.9691191,4.071576357,34.19206568,2496.467716,49.96466467
lstm,Wind,0,0.3,1,32, True,25,64,5,1657,Adam,0.001,minmax,56.63793898,2.214741468,31.88502409,2093.389266,45.75357107
lstm,Wind,1,0.3,1,32, False,25,64,5,1657,Adam,0.001,minmax,55.27784848,2.063883066,32.51663764,2145.607413,46.32070177
lstm,Wind,2,0.3,1,64, True,25,64,5,1657,Adam,0.001,minmax,54.51566315,2.118038893,31.36529092,2000.450453,44.72639549
lstm,Wind,3,0.3,1,64, False,25,64,5,1657,Adam,0.001,minmax,55.15053964,2.103512526,35.21750955,2512.682393,50.12666349
lstm,Wind,4,0.3,1,128, True,25,64,5,1657,Adam,0.001,minmax,51.47739506,2.205749989,38.85131568,2951.10525,54.32407615
lstm,Wind,5,0.3,1,128, False,25,64,5,1657,Adam,0.001,minmax,55.31504154,2.123105526,28.8111699,1717.670157,41.44478444
lstm,Wind,6,0.3,2,32, True,25,64,5,1657,Adam,0.001,minmax,81.23750496,3.228035212,30.29056222,1883.330638,43.3973575
lstm,Wind,7,0.3,2,32, False,25,64,5,1657,Adam,0.001,minmax,88.48425531,3.272905588,30.59898075,1925.871559,43.88475315
lstm,Wind,8,0.3,2,64, True,25,64,5,1657,Adam,0.001,minmax,81.9387002,3.239277601,30.65006459,1892.817124,43.50651817
lstm,Wind,9,0.3,2,64, False,25,64,5,1657,Adam,0.001,minmax,71.2412982,3.19950223,34.47064445,2432.7014,49.32242289
lstm,Wind,10,0.3,2,128, True,25,64,5,1657,Adam,0.001,minmax,74.88638592,3.277924776,31.05166912,1991.67315,44.62816544
lstm,Wind,11,0.3,2,128, False,25,64,5,1657,Adam,0.001,minmax,90.15970445,3.151991129,29.62606649,1827.72318,42.75187925
lstm,Wind,12,0.3,4,32, True,25,64,5,1657,Adam,0.001,minmax,157.5330961,5.444938183,32.5819068,2205.118722,46.95869165
lstm,Wind,13,0.3,4,32, False,25,64,5,1657,Adam,0.001,minmax,173.5585606,5.494181633,31.40109956,2053.851282,45.31943603
lstm,Wind,14,0.3,4,64, True,25,64,5,1657,Adam,0.001,minmax,174.1908448,5.427634954,30.53189372,1923.917681,43.86248604
lstm,Wind,15,0.3,4,64, False,25,64,5,1657,Adam,0.001,minmax,157.3667369,5.547832251,31.56588383,2036.988713,45.13301135
lstm,Wind,16,0.3,4,128, True,25,64,5,1657,Adam,0.001,minmax,159.8077476,5.626718998,30.16907966,1904.744876,43.64338296
lstm,Wind,17,0.3,4,128, False,25,64,5,1657,Adam,0.001,minmax,159.4285774,5.573666334,30.51269628,1931.541264,43.94930334
rnn,Wind,0,0.2,1,32, True,25,32,5,3788,Adam,0.001,minmax,90.92443395,1.234732151,27.6049967,1614.3265,40.17868216
rnn,Wind,1,0.2,1,32, False,25,32,5,3788,Adam,0.001,minmax,87.84461522,1.260725498,27.13296214,1547.679288,39.34055526
rnn,Wind,2,0.2,1,64, True,25,32,5,3788,Adam,0.001,minmax,88.86043763,1.187273502,38.68305798,2740.228821,52.34719497
rnn,Wind,3,0.2,1,64, False,25,32,5,3788,Adam,0.001,minmax,86.17618442,1.242928267,32.46864039,2119.960104,46.04302448
rnn,Wind,4,0.2,1,128, True,25,32,5,3788,Adam,0.001,minmax,87.26156449,1.252016544,43.04093746,3526.019331,59.38029413
rnn,Wind,5,0.2,1,128, False,25,32,5,3788,Adam,0.001,minmax,89.02854466,1.232643843,28.49391137,1714.893414,41.41127158
rnn,Wind,6,0.2,2,32, True,25,32,5,3788,Adam,0.001,minmax,145.8447404,1.937733889,28.98973133,1756.105322,41.90591035
rnn,Wind,7,0.2,2,32, False,25,32,5,3788,Adam,0.001,minmax,151.3493412,1.808414698,27.62806825,1611.129867,40.13888223
rnn,Wind,8,0.2,2,64, True,25,32,5,3788,Adam,0.001,minmax,146.5435064,1.747923374,27.76129937,1622.314672,40.27796758
rnn,Wind,9,0.2,2,64, False,25,32,5,3788,Adam,0.001,minmax,144.7639968,1.738848448,27.3134761,1536.245166,39.19496353
rnn,Wind,10,0.2,2,128, True,25,32,5,3788,Adam,0.001,minmax,149.7963612,1.902132273,27.66293924,1594.112871,39.92634306
rnn,Wind,11,0.2,2,128, False,25,32,5,3788,Adam,0.001,minmax,151.2426476,1.824512959,35.62109909,2530.077487,50.29987562
rnn,Wind,12,0.2,4,32, True,25,32,5,3788,Adam,0.001,minmax,257.8275797,2.840433836,35.40049051,2341.877439,48.39294823
rnn,Wind,13,0.2,4,32, False,25,32,5,3788,Adam,0.001,minmax,263.6600869,2.99003005,31.3648413,2211.184233,47.02323078
